Category,State/UT,One Star - Hotels - 2010,One Star - Rooms - 2010,One Star - Hotels - 2012,One Star - Rooms - 2012,One Star - Hotels - 2013,One Star - Rooms - 2013,One Star - Hotels - 2014,One Star - Rooms - 2014,One Star - Hotels - 2015,One Star - Rooms - 2015,One Star - Hotels - 2016,One Star - Rooms - 2016,Two Star - Hotels - 2010,Two Star - Rooms - 2010,Two Star - Hotels - 2012,Two Star - Rooms - 2012,Two Star - Hotels - 2013,Two Star - Rooms - 2013,Two Star - Hotels - 2014,Two Star - Rooms - 2014,Two Star - Hotels - 2015,Two Star - Rooms - 2015,Two Star - Hotels - 2016,Two Star - Rooms - 2016,Three Star - Hotels - 2010,Three Star - Rooms - 2010,Three Star - Hotels - 2012,Three Star - Rooms - 2012,Three Star - Hotels - 2013,Three Star - Rooms - 2013,Three Star - Hotels - 2014,Three Star - Rooms - 2014,Three Star - Hotels - 2015,Three Star - Rooms - 2015,Three Star - Hotels - 2016,Three Star - Rooms - 2016,Four Star - Hotels - 2010,Four Star - Rooms - 2010,Four Star - Hotels - 2012,Four Star - Rooms - 2012,Four Star - Hotels - 2013,Four Star - Rooms - 2013,Four Star - Hotels - 2014,Four Star - Rooms - 2014,Four Star - Hotels - 2015,Four Star - Rooms - 2015,Four Star - Hotels - 2016,Four Star - Rooms - 2016,Five Star - Hotels - 2010,Five Star - Rooms - 2010,Five Star - Hotels - 2012,Five Star - Rooms - 2012,Five Star - Hotels - 2013,Five Star - Rooms - 2013,Five Star - Hotels - 2014,Five Star - Rooms - 2014,Five Star - Hotels - 2015,Five Star - Rooms - 2015,Five Star - Hotels - 2016,Five Star - Rooms - 2016,Five Star Delux - Hotels - 2010,Five Star Delux - Rooms - 2010,Five Star Delux - Hotels - 2012,Five Star Delux - Rooms - 2012,Five Star Delux - Hotels - 2013,Five Star Delux - Rooms - 2013,Five Star Delux - Hotels - 2014,Five Star Delux - Rooms - 2014,Five Star Delux - Hotels - 2015,Five Star Delux - Rooms - 2015,Five Star Delux - Hotels - 2016,Five Star Delux - Rooms - 2016,Others - Hotels - 2010,Others - Rooms - 2010,Others - Hotels - 2012,Others - Rooms - 2012,Others - Hotels - 2013,Others - Rooms - 2013,Others - Hotels - 2014,Others - Rooms - 2014,Others - Hotels - 2015,Others - Rooms - 2015,Others - Hotels - 2016,Others - Rooms - 2016
State,Andhra Pradesh,2,49,1,23,NA,NA,NA,NA,NA,NA,0,0,10,262,1,10,1,10,NA,NA,NA,NA,0,0,106,6137,61,4054,43,3062,34,2763,15,997,16,1181,8,863,4,424,6,787,7,891,5,501,6,612,7,991,5,774,7,1152,9,1500,3,298,6,622,5,1021,4,570,5,1188,8,1802,1,225,1,225,NA,NA,1,256,1,70,1,70,NA,NA,0,0
State,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,54,1,23,1,23,2,35,2,36,NA,NA,1,18,1,18,1,18,2,71,2,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
State,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,225,7,160,5,115,3,62,6,146,12,313,20,720,19,673,13,442,8,273,18,665,18,695,2,148,3,117,3,117,3,117,2,216,2,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,6,NA,NA,1,39,1,39,3,12,2,4
State,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,196,NA,NA,1,63,1,63,2,98,2,98,4,214,1,68,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,79,NA,NA,NA,NA,1,81,1,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,68,2,69,3,11,2,10
State,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,31,3,123,1,54,1,54,1,54,1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,108,NA,NA,NA,NA,NA,NA,NA,NA,1,108,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
State,Goa,1,26,NA,NA,1,10,NA,NA,NA,NA,0,0,13,737,8,448,3,162,1,10,1,10,0,0,13,847,16,1004,16,1017,12,797,12,692,7,292,4,480,3,371,3,434,3,434,5,418,4,418,13,1662,10,817,11,929,10,820,10,759,11,852,21,3572,13,2000,12,1960,9,1633,15,2414,17,2737,3,33,1,2,2,32,8,560,1,24,1,24
State,Gujarat,1,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9,461,2,50,NA,NA,1,16,1,16,0,0,30,1521,32,1892,28,1641,21,1188,25,1504,26,1601,5,279,5,253,3,166,4,236,8,597,8,511,9,742,6,573,9,867,10,1100,17,2185,15,1799,NA,NA,NA,NA,1,170,1,170,4,615,6,777,6,114,2,85,2,42,10,753,2,28,3,29
State,Haryana,1,136,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,60,2,34,1,24,1,24,NA,NA,0,0,48,2816,30,1811,32,1974,28,1486,27,1497,13,788,12,1080,6,608,5,504,5,504,4,494,4,494,2,212,1,80,2,365,1,285,3,599,3,599,5,851,3,632,3,344,4,1108,10,2616,8,1912,156,580,10,144,3,509,5,695,97,491,109,577
State,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,135,3,87,2,66,NA,NA,1,15,0,0,7,207,3,86,3,84,1,30,4,126,2,69,1,41,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,213,NA,NA,NA,NA,NA,NA,1,59,1,59,3,137,1,85,1,85,1,85,NA,NA,1,85,16,363,6,174,4,145,5,225,61,469,139,913
State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,190,2,120,2,107,2,107,2,107,1,40,1,44,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,237,1,112,NA,NA,1,113,4,20,7,33
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,148,4,198,4,198,3,169,1,37,2,93,1,25,NA,NA,NA,NA,NA,NA,1,93,1,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,6,1,6,1,6
State,Karnataka,7,384,4,103,3,89,2,68,NA,NA,0,0,6,332,2,67,2,67,NA,NA,NA,NA,0,0,34,1946,25,1462,18,1182,11,675,7,504,7,584,4,351,3,188,2,159,1,29,3,316,2,287,10,1474,3,348,4,513,5,738,8,1111,8,1111,9,1480,7,1370,7,1575,9,1892,8,2232,10,2851,10,441,3,192,3,296,11,1125,7,24,8,40
State,Kerala,8,273,3,64,NA,NA,NA,NA,NA,NA,0,0,98,1888,36,585,32,495,30,469,20,491,23,215,305,7480,242,5362,269,5798,263,5898,203,3868,192,3667,31,1793,46,1726,53,1780,76,2160,135,3413,150,3840,14,1184,11,979,12,958,14,1256,26,2269,25,2063,4,512,6,487,7,559,8,883,8,1073,13,1797,24,432,21,508,16,209,55,1270,NA,NA,15,154
